id,created_at,serviceid,driverid
66,2026-05-19 13:49:21.294176+00,fba772db-10be-4403-a88e-e907d39b31be,382eda5c-57c5-4327-8b64-78420f7669f2
67,2026-05-19 13:52:26.203481+00,32c5cfe5-ddcc-4230-a11a-f1fe99e36756,5e305abe-a747-4fbd-8fbb-2f89d51fe7e4
68,2026-05-19 13:52:26.203481+00,66a03e23-bec4-4cd3-8fd4-ebd447201ed1,5e305abe-a747-4fbd-8fbb-2f89d51fe7e4
69,2026-05-19 13:52:26.203481+00,75497336-75df-4fb2-bf2e-be74003ecba2,5e305abe-a747-4fbd-8fbb-2f89d51fe7e4
70,2026-05-19 13:52:26.203481+00,9a1d588c-c64d-48dc-97d1-c805082a273e,5e305abe-a747-4fbd-8fbb-2f89d51fe7e4
71,2026-05-19 13:52:26.203481+00,e23fcdcb-5cf6-48a5-8e74-38e2d4b79691,5e305abe-a747-4fbd-8fbb-2f89d51fe7e4
72,2026-05-19 13:52:26.203481+00,fba772db-10be-4403-a88e-e907d39b31be,5e305abe-a747-4fbd-8fbb-2f89d51fe7e4
73,2026-05-19 13:54:24.523805+00,32c5cfe5-ddcc-4230-a11a-f1fe99e36756,d03ac4a8-941d-4b88-84a6-3563afb7e698
74,2026-05-19 13:56:36.758943+00,66a03e23-bec4-4cd3-8fd4-ebd447201ed1,71dd66f6-f205-435f-b2fb-cabca88e0f60
75,2026-05-19 13:56:36.758943+00,75497336-75df-4fb2-bf2e-be74003ecba2,71dd66f6-f205-435f-b2fb-cabca88e0f60
76,2026-05-19 13:56:36.758943+00,9a1d588c-c64d-48dc-97d1-c805082a273e,71dd66f6-f205-435f-b2fb-cabca88e0f60
77,2026-05-19 13:56:36.758943+00,e23fcdcb-5cf6-48a5-8e74-38e2d4b79691,71dd66f6-f205-435f-b2fb-cabca88e0f60
78,2026-05-19 13:56:36.758943+00,fba772db-10be-4403-a88e-e907d39b31be,71dd66f6-f205-435f-b2fb-cabca88e0f60
79,2026-05-19 14:02:55.207865+00,32c5cfe5-ddcc-4230-a11a-f1fe99e36756,5f659cb2-355e-4e3b-8d12-64c980e48ccd
80,2026-05-19 14:02:55.207865+00,75497336-75df-4fb2-bf2e-be74003ecba2,5f659cb2-355e-4e3b-8d12-64c980e48ccd
81,2026-05-19 14:02:55.207865+00,9a1d588c-c64d-48dc-97d1-c805082a273e,5f659cb2-355e-4e3b-8d12-64c980e48ccd
82,2026-05-19 14:02:55.207865+00,e23fcdcb-5cf6-48a5-8e74-38e2d4b79691,5f659cb2-355e-4e3b-8d12-64c980e48ccd
83,2026-05-19 14:02:55.207865+00,fba772db-10be-4403-a88e-e907d39b31be,5f659cb2-355e-4e3b-8d12-64c980e48ccd
84,2026-05-19 14:07:14.836217+00,32c5cfe5-ddcc-4230-a11a-f1fe99e36756,6beccbb1-fcb4-446f-a20b-d38d4cb484f9
85,2026-05-19 14:07:14.836217+00,66a03e23-bec4-4cd3-8fd4-ebd447201ed1,6beccbb1-fcb4-446f-a20b-d38d4cb484f9
86,2026-05-19 14:07:14.836217+00,75497336-75df-4fb2-bf2e-be74003ecba2,6beccbb1-fcb4-446f-a20b-d38d4cb484f9
87,2026-05-19 14:07:14.836217+00,9a1d588c-c64d-48dc-97d1-c805082a273e,6beccbb1-fcb4-446f-a20b-d38d4cb484f9
88,2026-05-19 14:07:14.836217+00,e23fcdcb-5cf6-48a5-8e74-38e2d4b79691,6beccbb1-fcb4-446f-a20b-d38d4cb484f9
89,2026-05-19 14:07:14.836217+00,fba772db-10be-4403-a88e-e907d39b31be,6beccbb1-fcb4-446f-a20b-d38d4cb484f9
90,2026-05-19 14:09:57.802899+00,66a03e23-bec4-4cd3-8fd4-ebd447201ed1,d6fb9405-0861-4268-b482-2caea7de1aad
91,2026-05-19 14:09:57.802899+00,75497336-75df-4fb2-bf2e-be74003ecba2,d6fb9405-0861-4268-b482-2caea7de1aad
92,2026-05-19 14:09:57.802899+00,9a1d588c-c64d-48dc-97d1-c805082a273e,d6fb9405-0861-4268-b482-2caea7de1aad
93,2026-05-19 14:09:57.802899+00,e23fcdcb-5cf6-48a5-8e74-38e2d4b79691,d6fb9405-0861-4268-b482-2caea7de1aad
94,2026-05-19 14:09:57.802899+00,fba772db-10be-4403-a88e-e907d39b31be,d6fb9405-0861-4268-b482-2caea7de1aad
95,2026-05-19 14:31:17.589371+00,66a03e23-bec4-4cd3-8fd4-ebd447201ed1,42a4f398-f24b-4ca3-819c-0c4dd67dbf96
96,2026-05-19 14:31:17.589371+00,75497336-75df-4fb2-bf2e-be74003ecba2,42a4f398-f24b-4ca3-819c-0c4dd67dbf96
97,2026-05-19 14:31:17.589371+00,9a1d588c-c64d-48dc-97d1-c805082a273e,42a4f398-f24b-4ca3-819c-0c4dd67dbf96
98,2026-05-19 14:31:17.589371+00,e23fcdcb-5cf6-48a5-8e74-38e2d4b79691,42a4f398-f24b-4ca3-819c-0c4dd67dbf96
